Worldwide Gross($M),Movie,Release Year
0.00,Fetching Cody,2006
0.00,The Lion of Judah,2011
0.00,Once Upon a Time in Queens,2014
0.00,Girlhouse,2015
0.00,Closer to the Moon,2015
0.00,Mutant World,2015
0.00,#Horror,2015
0.00,Checkmate,2015
0.00,Kurmanjan datka,2014
0.00,One Shot,2015
0.00,House at the End of the Drive,2014
0.00,Batman - The Movie,2001
0.00,The 41 Year Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,2009
0.00,The Algerian,2015
0.00,How Green Was My Valley,1941
0.00,Da Sweet Blood of Jesus,2015
0.00,"Charge of the Light Brigade, The",1936
0.00,Grand Theft Parsons,2004
0.00,Below Zero,2012
0.00,Crowsnest,2012
0.00,Airborne,2012
0.00,Cotton Comes to Harlem,2014
0.00,Bleeding Hearts,2015
0.00,The Wicked Within,2013
0.00,Faith Like Potatoes,2009
0.00,Lake Mungo,2010
0.00,Silent Running,2015
0.00,Dead Undead The,2010
0.00,The Vatican Exorcisms,2013
0.00,Frat Party,2009
0.00,Jimmy and Judy,2006
0.00,The Party's Over,2003
0.00,The Poker House,2009
0.00,Proud,2005
0.00,Steppin: The Movie,2008
0.00,Zombies of Mass Destruction,2010
0.00,Snow White: A Deadly Summer,2012
0.00,Truth or Die,2012
0.00,Black Rock,2013
0.00,Hidden Away,2014
0.00,My Last Day Without You,2013
0.00,Zombie Hunter,2013
0.00,Doc Holliday's Revenge,2014
0.00,A Fine Step,2014
0.00,Fear Clinic,2015
0.00,The Pet,2015
0.00,Bang Bang Baby,2014
0.00,1982,2016
0.00,The Horror Network,2015
0.00,Chemical Cut,2016
0.00,American Hero,2015
0.00,Por amor en el caserio,2015
0.00,Jesse,2014
0.00,Ask Me Anything,2015
0.00,Food Chains,2014
0.00,40 Weeks,2014
0.00,Le bonheur d'Elza,2015
0.00,Snitch,2012
0.00,Harrison Montgomery,2008
0.00,Vessel,2015
0.00,Iraq for Sale: The War Profiteers,2006
0.00,Bled,2009
0.00,Adulterers,2016
0.00,Walter,2015
0.00,After,2012
0.00,The Hadza: Last of the First,2014
0.00,Treachery,2013
0.00,Crop Circles: Quest for Truth,2002
0.00,The Maid's Room,2014
0.00,Light from the Darkroom,2014
0.00,Irreplaceable,2015
0.00,High Road,2012
0.00,Drones,2010
0.00,Enter Nowhere,2012
0.00,Girls Gone Dead,2012
0.00,Insomnia Manica,2005
0.00,America Is Still The Place,2014
0.00,The Outrageous Sophie Tucker,2015
0.00,Subconscious,2015
0.00,Roadside,2015
0.00,Diamond Rufff,2014
0.00,Love in the Time of Monsters,2015
0.00,El rey de Najayo,2012
0.00,Fight to the Finish,2014
0.00,Bucky and the Squirrels,2013
0.00,Going Under,1990
0.00,Crossroads,2015
0.00,Alleluia! The Devil's Carnival,2015
0.00,Brooklyn Bizarre,2015
0.00,Crabs!,2016
0.00,The Sound and the Shadow,2014
0.00,Rodeo Girl,2015
0.00,The Little Ponderosa Zoo,2015
0.00,The Toxic Avenger,1984
0.00,Mutual Friends,2014
0.00,Rise Of the Entrepreneur - The Search For A Better Way,2014
0.00,My Beautiful Laundrette,1986
0.00,Show Me,2005
0.00,Pancakes,2014
0.00,Viskningar och rop,2015
0.00,Intolerance,1916
0.00,Royal Kill,2009
0.00,Rotor DR1,2015
0.00,12 Angry Men,1957
0.00,Death Race 2000,1975
0.00,Some Guy Who Kills People,2012
0.00,Midnight Cabaret,2013
0.00,Teeth and Blood,2015
0.00,Walking to Paris,2015
0.00,Anderson's Cross,2010
0.00,Amidst the Devil's Wings,2015
0.00,Death Calls,2010
0.00,Sunday School Musical,2008
0.00,Rust,2010
0.00,The Christmas Bunny,2010
0.00,Ink,2009
0.00,The Frozen,2012
0.00,Jesus People,2014
0.00,Butterfly,2010
0.00,UnDivided,2015
0.00,Horse Camp,2014
0.00,Give Me Shelter,2015
0.00,Rock the House,2011
0.00,Shooting the Warwicks,2015
0.00,The Love Letter,2015
0.00,Western Religion,2015
0.00,4/11,2015
0.00,The Man From Earth,2007
0.00,Samantha: An American Girl Holiday,2004
0.00,Yesterday Was a Lie,2008
0.00,Archaeology of a Woman,2014
0.00,Sanctuary; Quite a Conundrum,2014
0.00,Theresa Is a Mother,2015
0.00,Perfect Cowboy,2015
0.00,H.,2014
0.00,Heroes of Dirt,2015
0.00,A Charlie Brown Christmas,2009
0.00,Aroused,2013
0.00,Escaping the Holocost,2015
0.00,An American in Hollywood,2014
0.00,The Brain That Sings,2015
0.00,Romantic Schemer,2015
0.00,The Blood of My Brother: A Story of Death in Iraq,2006
0.00,A Dog's Breakfast,2007
0.00,A Dog's Breakfast,2007
0.00,Une Femme Mariée,2016
0.00,Indie Game: The Movie,2012
0.00,"Dude, Where's My Dog",2014
0.00,Echo Dr.,2013
0.00,Closure,2015
0.00,Lunchtime Heroes,2015
0.00,Open Secret,2015
0.00,The Night Visitor,2015
0.00,Tiger Orange,2015
0.00,Queen Crab,2015
0.00,The FP,2012
0.00,Hayride,2012
0.00,The Brain That Wouldn't Die,2015
0.00,The Dirties,2013
0.00,Big Things,2009
0.00,The Call of Cthulhu,2005
0.00,Bending Steel,2015
0.00,"Run, Hide, Die",2015
0.00,The Image Revolution,2014
0.00,A True Story,2013
0.00,This Is Martin Bonner,2013
0.00,Her Cry: La Llorona Investigation,2013
0.00,Happy 40th,2014
0.00,Paraphobia,2013
0.00,Manito,2003
0.00,Ten,2015
0.00,Dutch Kills,2015
0.00,Dry Spell,2014
0.00,Flywheel,2003
0.00,All Superheroes Must Die,2013
0.00,The Front Man,2015
0.00,The Ridges,2011
0.00,Stories of Our Lives,2014
0.00,Tin Can Man,2007
0.00,Family Motocross,2015
0.00,Signed Sealed Delivered,2015
0.00,A Plague So Pleasant,2015
0.00,The Rise and Fall of Miss Thang,2008
0.00,The Dark Hours,2005
0.00,Destiny,2014
0.00,Bang,1996
0.00,Ed and his Dead Mother,1993
0.00,The Jimmy Show,2002
0.00,Perrier's Bounty,2010
0.00,In Her Line of Fire,2006
0.00,The Mongol King,2004
0.00,"To Be Frank, Sinatra at 100",2015
0.00,Childless,2015
0.00,B-Girl,2010
0.00,The Trials of Darryl Hunt,2007
0.00,Skin Trade,2015
0.00,Grip: A Criminal's Story,2006
0.00,Return to the Land of Wonders,2005
0.00,Keeping it Real: The Adventures of Greg Walloch,2001
0.00,Eddie: The Sleepwalking Cannibal,2013
0.00,The Looking Glass,2015
0.00,Detention of the Dead,2013
0.00,Born to Fly: Elizabeth Streb vs. Gravity,2014
0.00,On the Down Low,2004
0.00,"Me, You and Five Bucks",2015
0.00,Yoga Hosers,2016
0.00,Veronika Decides to Die,2015
0.00,Backmask,2015
0.00,The Ghastly Love of Johnny X,2012
0.00,Sparrows Dance,2013
0.00,The Sleepwalker,2014
0.00,Tracker,2011
0.00,Along the Roadside,2015
0.00,Windsor Drive,2015
0.00,I Love Your Work,2005
0.00,Drunk Wedding,2015
0.00,Mi America,2016
0.00,Broken Horses,2015
0.00,Locker 13,2014
0.00,Raymond Did It,2011
0.00,The Word,2014
0.00,The Helix... Loaded,2005
0.00,The Harvest/La Cosecha,2011
0.00,The Californians,2005
0.00,La navaja de Don Juan,2015
0.00,Inescapable,2013
0.00,Newlyweds,2012
0.00,My Big Fat Independent Movie,2005
0.00,Supporting Characters,2013
0.00,"Peace, Propaganda and the Promised Land",2005
0.01,The Grimm Brothers' Snow White,1997
0.01,Tanner Hall,2011
0.01,Say Uncle,2006
0.01,Loving Annabelle,2006
0.01,Sparkler,1999
0.01,Top Spin,2015
0.01,Solitude,2005
0.01,I Am Wrath,2016
0.01,The Sisterhood of Night,2015
0.01,The Case of the Grinning Cat,2006
0.01,Antarctic Edge: 70º South,2015
0.01,The Giant Mechanical Man,2012
0.01,Little Big Top,2008
0.01,Area 51,2015
0.01,Dreaming of Joseph Lees,1999
0.01,Certifiably Jonathan,2011
0.01,Everything Put Together,2001
0.01,They Will Have to Kill Us First,2016
0.01,And Then Came Love,2007
0.01,Pink Narcissus,1999
0.01,Grace,2009
0.01,Counting,2015
0.01,Julija in alfa Romeo,2015
0.01,Absentia,2011
0.01,Dawn of the Crescent Moon,2015
0.01,Butterfly Girl,2015
0.01,Janky Promoters,2009
0.01,Faith Connections,2014
0.01,Revolution#9,2002
0.01,Anatomie,2000
0.01,Down Terrace,2010
0.01,Camp X-Ray,2014
0.01,Taxman,1999
0.01,Circle,2010
0.01,Naturally Native,1999
0.01,Fighting Tommy Riley,2005
0.01,Jerusalema,2010
0.01,"First Love, Last Rites",1998
0.01,The Lovers,2015
0.01,16 to Life,2010
0.01,Falcon Rising,2014
0.01,Hross i oss,2015
0.01,The Living Wake,2010
0.01,The Loved Ones,2012
0.01,Vaalu,2015
0.01,Gory Gory Hallelujah,2005
0.01,August,2008
0.01,London,2006
0.01,The Last Time I Committed Suicide,1997
0.01,Night Lights,2014
0.01,The Specials,2000
0.01,The Slaughter Rule,2003
0.01,Forget Me Not,2011
0.01,As It Is in Heaven,2014
0.01,Outside Bet,2015
0.01,Don McKay,2010
0.01,Dolphin,1979
0.01,Opal Dreams,2006
0.01,10 Days in a Madhouse,2015
0.01,Starsuckers,2009
0.01,Major Dundee,1965
0.02,Trade of Innocents,2012
0.02,Hits,2015
0.02,All Hat,2008
0.02,The Work and the Story,2003
0.02,The Dress,1998
0.02,Los insolitos peces gato,2014
0.02,Crying With Laughter,2009
0.02,The First Time,2012
0.02,Speedway Junky,2001
0.02,Nothing But a Man,2012
0.02,Molly,1999
0.02,Sonny,2002
0.02,Karachi se Lahore,2015
0.02,The Missing Person,2009
0.02,Test,2014
0.02,Akira,2001
0.02,The Open Road,2009
0.02,The Journey,2003
0.02,The Dead Girl,2006
0.02,The Past is a Grotesque Animal,2014
0.02,A Room for Romeo Brass,2000
0.02,Sticky Fingers of Time,1999
0.02,Return of the Living Dead 3,1993
0.02,Safe Men,1998
0.02,The Last Big Thing,1998
0.02,The Good Night,2007
0.02,Poultrygeist: Night of the Chicken Dead,2008
0.02,All the Queen's Men,2002
0.02,Arnolds Park,2007
0.02,R100,2015
0.03,The Exploding Girl,2010
0.03,Griff the Invisible,2011
0.03,Lake of Fire,2007
0.03,"Pink Ribbons, Inc.",2012
0.03,Special,2008
0.03,Departure,2015
0.03,Strangerland,2015
0.03,Salvation Boulevard,2011
0.03,Plush,2013
0.03,Automata,2014
0.03,Time to Choose,2016
0.03,Redemption Road,2011
0.03,Lumea e a mea,2015
0.03,Happy Christmas,2014
0.03,L!fe Happens,2012
0.03,Super Capers,2009
0.03,Fabled,2004
0.03,Good,2008
0.03,Pontypool,2009
0.03,Kiss the Bride,2008
0.03,The Calling,2002
0.03,Song One,2015
0.03,Black November,2015
0.03,Speak No Evil,2013
0.03,Spoken Word,2010
0.03,Sisters in Law,2006
0.03,I Love You … Don't Touch Me!,1998
0.03,The Velocity of Gary,1999
0.04,Underdogs,2013
0.04,Not Cool,2014
0.04,Trudno byt bogom,2015
0.04,"Surfer, Dude",2008
0.04,This Thing of Ours,2003
0.04,Chicken Tikka Masala,2005
0.04,3 Backyards,2011
0.04,Just Looking,2000
0.04,The Opposite Sex,2015
0.04,Down for Life,2011
0.04,Siakh lokhamim: ha'slilim ha'gnouzim,2015
0.04,Water & Power,2014
0.04,Jackpot,2001
0.04,Defendor,2010
0.04,La mariée était en noir,1968
0.04,Side Effects,2005
0.05,Lost River,2015
0.05,An Alan Smithee Film: Burn Hollywood Burn,1998
0.05,Ca$h,2010
0.05,Interview with the Assassin,2002
0.05,Open Road,2013
0.05,Madadayo,1998
0.05,The Chumscrubber,2005
0.05,The Motel,2006
0.05,The Perfect Host,2011
0.05,Fong juk,2007
0.05,Trucker,2009
0.05,Good Dick,2008
0.05,Aloft,2015
0.05,Finishing the Game,2007
0.06,Johnny Suede,1991
0.06,Rudderless,2014
0.06,Incident at Loch Ness,2004
0.06,Beyond the Black Rainbow,2012
0.06,Harvard Man,2002
0.06,The Young Unknowns,2003
0.06,Wal-Mart: The High Cost of Low Price,2005
0.06,Down & Out with the Dolls,2003
0.06,Cheap Thrills,2014
0.06,Il conformista,2014
0.06,Winnie Mandela,2013
0.06,The Canyons,2013
0.06,The Mudge Boy,2004
0.06,Creative Control,2016
0.06,Nothing,2003
0.06,Stitches,2013
0.06,Aberdeen,2001
0.06,Among Giants,1999
0.07,Stuck,2008
0.07,Happy Valley,2008
0.07,Stiff Upper Lips,1999
0.07,Eulogy,2004
0.07,Pierrot le fou,2007
0.07,Timber Falls,2007
0.07,Cavite,2006
0.07,Eye of the Dolphin,2007
0.07,Pump,2014
0.07,24 7: Twenty Four Seven,1998
0.07,Foodfight!,2012
0.08,An Everlasting Piece,2000
0.08,Silent Trigger,1996
0.08,Eureka,2001
0.08,Scott Walker: 30 Century Man,2009
0.08,Banshee Chapter,2014
0.08,Fort McCoy,2014
0.08,Nomad,2007
0.08,Extreme Movie,2008
0.08,Dracula: Pages from a Virgin's Diary,2003
0.08,Diamonds,1999
0.08,Funny Ha Ha,2005
0.08,They Came Together,2014
0.08,Fascination,2005
0.08,51 Birch Street,2006
0.09,Broken Vessels,1999
0.09,Leaves of Grass,2010
0.09,First Morning,2005
0.09,5 Days of War,2011
0.09,Home Movies,1980
0.09,The Hebrew Hammer,2003
0.09,Adam Resurrected,2009
0.09,Red Sky,2015
0.09,Mean Machine,2002
0.09,Cure,2001
0.09,Vamps,2012
0.10,Sommersturm,2006
0.10,Hardflip,2012
0.10,Decoys,2004
0.10,D.E.B.S.,2005
0.10,Desert Blue,1999
0.10,8: The Mormon Proposition,2010
0.10,Beyond the Brick: A LEGO Brickumentary,2015
0.10,George A. Romero's Survival of the Dead,2010
0.10,The Gambler,1999
0.10,Saint John of Las Vegas,2010
0.10,The House of the Devil,2009
0.10,Mutual Appreciation,2006
0.10,Criminal Activities,2015
0.11,Freeze Frame,2004
0.11,The Good Guy,2010
0.11,Sleep Dealer,2009
0.11,Elsa & Fred,2014
0.11,Wild Target,2010
0.11,Blood Done Sign My Name,2010
0.11,The Lost Skeleton of Cadavra,2004
0.11,Woman Chaser,2000
0.11,Road Hard,2015
0.11,Lisa Picard is Famous,2001
0.11,Winter Passing,2006
0.12,Breaking Upwards,2010
0.12,The Grand,2008
0.12,The Greatest,2010
0.12,Gentlemen Broncos,2009
0.12,Valley of the Hearts Delight,2010
0.12,Come Early Morning,2006
0.12,Stolen Summer,2002
0.12,Trust,2011
0.12,Tycoon,2003
0.12,Hum to Mohabbt Karega,2000
0.12,Antiviral,2013
0.13,There Goes My Baby,1994
0.13,Police Academy 7: Mission to Moscow,1994
0.13,E tu vivrai nel terrore - L'aldilà,1983
0.13,The Wendell Baker Story,2007
0.13,Yi ge ren de wu lin,2015
0.13,Dil Jo Bhi Kahey...,2005
0.13,The Eclipse,2010
0.13,Six-String Samurai,1998
0.14,Accidental Love,2015
0.14,Clean,2006
0.14,The Salon,2007
0.14,Chacun sa nuit,2007
0.14,Baghead,2008
0.14,No Looking Back,1998
0.14,Space Pirate Captain Harlock,2013
0.14,10th & Wolf,2006
0.15,Bubble,2006
0.15,The Land Girls,1998
0.15,Love Ranch,2010
0.15,Mondays in the Sun,2003
0.15,The Last Five Years,2015
0.15,The Red Riding Trilogy: 1974,2010
0.15,Kicks,2016
0.15,Deceptive Practice: The Mysteries and Mentors of Ricky Jay,2013
0.16,Dragon Nest Warriors' Dawn,2014
0.16,The Divide,2012
0.16,The Horse Boy,2009
0.16,Carlos,2010
0.16,Hybrid,2002
0.16,Holly,2007
0.16,Modern Times,1936
0.16,The Last Godfather,2011
0.17,United Passions,2015
0.17,Escape from Tomorrow,2013
0.17,Savva. Serdtse voyna,2016
0.17,Forty Shades of Blue,2005
0.17,Freakonomics,2010
0.17,My Name is Bruce,2008
0.17,"Cinco de Mayo, La Batalla",2013
0.17,Mercy Streets,2000
0.17,Barbecue,2014
0.17,Fuel,2008
0.17,The Business of Fancy Dancing,2002
0.18,All You Need Is Love,2014
0.18,Sugar Town,1999
0.18,Breakfast of Champions,1999
0.18,My Date With Drew,2005
0.18,The Flower of Evil,2003
0.18,Pourquoi j'ai pas mangé mon père,2015
0.18,Go For It!,2011
0.18,The Masked Saint,2016
0.18,All or Nothing,2002
0.18,Amigo,2011
0.19,The Big Tease,2000
0.19,November,2005
0.19,I Want Someone To Eat Cheese With,2007
0.20,The Terrorist,2000
0.20,The Puffy Chair,2006
0.20,The Heart of Me,2003
0.20,Fateless,2006
0.20,Repo! The Genetic Opera,2008
0.20,Cama adentro,2007
0.20,I Married a Strange Person,1998
0.21,Betty Fisher et autres histoires,2002
0.21,La fille du RER,2010
0.21,Def-Con 4,1985
0.21,Call+Response,2008
0.21,Love Lisa,2002
0.22,Once in a Lifetime: the Extraordinary Story of the New York Cosmos,2006
0.22,Critical Care,1997
0.22,Steal (Canadian Release),2003
0.22,Ira and Abby,2007
0.22,Tim and Eric's Billion Dollar Movie,2012
0.22,"Remember Me, My Love",2004
0.23,High Heels and Low Lifes,2001
0.23,Guiana 1838,2004
0.23,Standard Operating Procedure,2008
0.23,Undead,2005
0.23,One Man's Hero,1999
0.23,Brighton Rock,2011
0.24,Middle of Nowhere,2012
0.24,Housebound,2014
0.24,On the Outs,2005
0.24,Driving Lessons,2006
0.24,Hatchet,2007
0.24,Following,1999
0.24,Edmond,2006
0.24,Two Night Stand,2014
0.24,Braindead,1993
0.24,The Legend of God's Gun,2008
0.24,La femme de chambre du Titanic,1998
0.25,Sex with Strangers,2002
0.25,Love's Abiding Joy,2006
0.25,Civil Brand,2003
0.26,Q,1982
0.26,The Last Days on Mars,2013
0.27,The Lucky Ones,2008
0.27,Morvern Callar,2002
0.27,Psycho Beach Party,2000
0.27,Shichinin no samurai,1956
0.27,Amen,2003
0.28,Smiling Fish and Goat on Fire,2000
0.28,The Tempest,2010
0.28,Life During Wartime,2010
0.28,"Lovely, Still",2010
0.28,Shotgun Stories,2007
0.29,Stranded,2013
0.29,Penitentiary,1980
0.29,Above and Beyond,2015
0.29,Antarctica: A Year on Ice,2014
0.29,Imaginary Heroes,2004
0.30,3,2011
0.30,Freeway,1996
0.30,World's Greatest Dad,2009
0.30,Shooting Fish,1998
0.30,Taxi to the Dark Side,2008
0.30,Stonewall,1996
0.31,Rapa Nui,1994
0.31,Chairman of the Board,1998
0.31,Never Again,2002
0.31,My Dog Tulip,2010
0.31,San qiang pai an jing qi,2010
0.31,Cargo,2011
0.31,Elling,2002
0.31,Jungle Shuffle,2015
0.31,The Other Dream Team,2012
0.32,The Informers,2009
0.32,The Yellow Handkerchief,2010
0.32,USS Indianapolis: Men of Courage,2016
0.32,The Last Waltz,1991
0.32,Desert Dancer,2015
0.33,City of Ghosts,2003
0.33,Neal n' Nikki,2005
0.33,Creature,2011
0.33,Manglehorn,2015
0.34,The Good Heart,2010
0.34,George Washington,2000
0.35,Malevolence,2004
0.35,Due occhi diabolici,1991
0.35,Albino Alligator,1997
0.35,Buffalo Soldiers,2003
0.35,Prison,1988
0.36,Welcome to the Rileys,2010
0.36,The Young and Prodigious T.S. Spivet,2015
0.36,Southland Tales,2007
0.37,Hurricane Streets,1998
0.37,Before We Go,2015
0.37,Deterrence,2000
0.37,MOOZ-lum,2011
0.37,Joe,2014
0.37,Let's Talk About Sex,1998
0.38,The Game of Their Lives,2005
0.38,Welcome to Collinwood,2002
0.38,The Quiet,2006
0.38,Hesher,2011
0.38,Adoration,2009
0.39,The Last Sin Eater,2007
0.39,The First Great Train Robbery,1979
0.40,The Loss of Sexual Innocence,1999
0.40,Old Joy,2006
0.41,The Signal,2008
0.41,Drinking Buddies,2013
0.41,Bottle Rocket,1996
0.41,The 5th Quarter,2011
0.41,The Boondock Saints,2000
0.41,The Brass Teapot,2013
0.41,Pink Flamingos,1997
0.41,Snow Angels,2008
0.41,The Death and Life of Bobby Z,2007
0.41,Dead Man's Shoes,2006
0.42,Killing Zoe,1994
0.42,Out of the Dark,1989
0.42,Foolproof,2003
0.42,Tiny Furniture,2010
0.43,Luminarias,2000
0.43,Sound of My Voice,2012
0.43,I Want Your Money,2010
0.44,Blue Ruin,2014
0.44,Short Cut to Nirvana: Kumbh Mela,2004
0.44,Grabbers,2013
0.44,A Lonely Place to Die,2012
0.44,The Hammer,2008
0.45,Dear Wendy,2005
0.45,Sunday,1997
0.45,Brother,2001
0.45,The Legend of Suriyothai,2003
0.46,Fido,2007
0.46,Gunless,2010
0.46,Brooklyn Rules,2007
0.46,Kill List,2012
0.46,Wah-Wah,2006
0.46,The Last Shot,2004
0.47,House of D,2005
0.47,Wristcutters: A Love Story,2007
0.48,Artie Lange's Beer League,2006
0.48,Blue Car,2003
0.48,Brotherly Love,2015
0.49,The Extra Man,2010
0.49,L'incomparable mademoiselle C.,2004
0.50,Marilyn Hotchkiss' Ballroom Dancing and Charm School,2006
0.50,Idiocracy,2006
0.50,The Act of Killing,2013
0.51,The Other End of the Line,2008
0.51,In The Land of Blood and Honey,2011
0.51,The Wild Bunch,1969
0.51,Unsullied,2015
0.52,Madison,2005
0.52,The Singing Detective,2003
0.53,The Reluctant Fundamentalist,2013
0.53,Things to Do in Denver when You're Dead,1995
0.53,Standing Ovation,2010
0.54,Clockwatchers,1998
0.54,Dream With The Fishes,1997
0.54,Manderlay,2006
0.55,The Lost Medallion: The Adventures of Billy Stone,2013
0.55,Heli,2013
0.55,Plastic,2014
0.56,Masked and Anonymous,2003
0.56,Ondine,2010
0.56,Poolhall Junkies,2003
0.56,Los Cronocrímenes,2008
0.57,Freedom,2015
0.57,"Dancer, Texas Pop. 81",1998
0.59,The Wicked Lady,1983
0.59,Prefontaine,1997
0.59,Super,2011
0.60,Blue Like Jazz,2012
0.60,Maggie,2015
0.60,Swept Away,2002
0.60,Lonesome Jim,2006
0.60,20 Dates,1999
0.61,The Basket,2000
0.61,London to Brighton,2009
0.62,Trekkies,1999
0.62,Company Man,2001
0.62,Margaret,2011
0.62,Texas Rangers,2001
0.63,Orgazmo,1998
0.63,I Come with the Rain,2008
0.63,The Brown Bunny,2004
0.63,Ride With the Devil,1999
0.63,May,2003
0.64,Journey from the Fall,2007
0.64,The Virginity Hit,2010
0.64,POM Wonderful Presents: The Greatest Movie Ever Sold,2011
0.65,The Oh in Ohio,2006
0.66,Heroes,2008
0.66,Yes,2005
0.67,The Princess and the Cobbler,1995
0.67,Dayereh,2001
